,date,Afghanistan_nan,Albania_nan,Algeria_nan,Andorra_nan,Angola_nan,Antigua and Barbuda_nan,Argentina_nan,Armenia_nan,Australia_Australian Capital Territory,Australia_New South Wales,Australia_Northern Territory,Australia_Queensland,Australia_South Australia,Australia_Tasmania,Australia_Victoria,Australia_Western Australia,Austria_nan,Azerbaijan_nan,Bahamas_nan,Bahrain_nan,Bangladesh_nan,Barbados_nan,Belarus_nan,Belgium_nan,Belize_nan,Benin_nan,Bhutan_nan,Bolivia_nan,Bosnia and Herzegovina_nan,Botswana_nan,Brazil_nan,Brunei_nan,Bulgaria_nan,Burkina Faso_nan,Burma_nan,Burundi_nan,Cabo Verde_nan,Cambodia_nan,Cameroon_nan,Canada_Alberta,Canada_British Columbia,Canada_Diamond Princess,Canada_Grand Princess,Canada_Manitoba,Canada_New Brunswick,Canada_Newfoundland and Labrador,Canada_Northwest Territories,Canada_Nova Scotia,Canada_Nunavut,Canada_Ontario,Canada_Prince Edward Island,Canada_Quebec,Canada_Repatriated Travellers,Canada_Saskatchewan,Canada_Yukon,Central African Republic_nan,Chad_nan,Chile_nan,China_Anhui,China_Beijing,China_Chongqing,China_Fujian,China_Gansu,China_Guangdong,China_Guangxi,China_Guizhou,China_Hainan,China_Hebei,China_Heilongjiang,China_Henan,China_Hong Kong,China_Hubei,China_Hunan,China_Inner Mongolia,China_Jiangsu,China_Jiangxi,China_Jilin,China_Liaoning,China_Macau,China_Ningxia,China_Qinghai,China_Shaanxi,China_Shandong,China_Shanghai,China_Shanxi,China_Sichuan,China_Tianjin,China_Tibet,China_Xinjiang,China_Yunnan,China_Zhejiang,Colombia_nan,Comoros_nan,Congo (Brazzaville)_nan,Congo (Kinshasa)_nan,Costa Rica_nan,Cote d'Ivoire_nan,Croatia_nan,Cuba_nan,Cyprus_nan,Czechia_nan,Denmark_Faroe Islands,Denmark_Greenland,Denmark_nan,Diamond Princess_nan,Djibouti_nan,Dominica_nan,Dominican Republic_nan,Ecuador_nan,Egypt_nan,El Salvador_nan,Equatorial Guinea_nan,Eritrea_nan,Estonia_nan,Eswatini_nan,Ethiopia_nan,Fiji_nan,Finland_nan,France_French Guiana,France_French Polynesia,France_Guadeloupe,France_Martinique,France_Mayotte,France_New Caledonia,France_Reunion,France_Saint Barthelemy,France_Saint Pierre and Miquelon,France_St Martin,France_nan,Gabon_nan,Gambia_nan,Georgia_nan,Germany_nan,Ghana_nan,Greece_nan,Grenada_nan,Guatemala_nan,Guinea-Bissau_nan,Guinea_nan,Guyana_nan,Haiti_nan,Holy See_nan,Honduras_nan,Hungary_nan,Iceland_nan,India_nan,Indonesia_nan,Iran_nan,Iraq_nan,Ireland_nan,Israel_nan,Italy_nan,Jamaica_nan,Japan_nan,Jordan_nan,Kazakhstan_nan,Kenya_nan,"Korea, South_nan",Kosovo_nan,Kuwait_nan,Kyrgyzstan_nan,Laos_nan,Latvia_nan,Lebanon_nan,Lesotho_nan,Liberia_nan,Libya_nan,Liechtenstein_nan,Lithuania_nan,Luxembourg_nan,MS Zaandam_nan,Madagascar_nan,Malawi_nan,Malaysia_nan,Maldives_nan,Mali_nan,Malta_nan,Marshall Islands_nan,Mauritania_nan,Mauritius_nan,Mexico_nan,Moldova_nan,Monaco_nan,Mongolia_nan,Montenegro_nan,Morocco_nan,Mozambique_nan,Namibia_nan,Nepal_nan,Netherlands_Aruba,"Netherlands_Bonaire, Sint Eustatius and Saba",Netherlands_Curacao,Netherlands_Sint Maarten,Netherlands_nan,New Zealand_nan,Nicaragua_nan,Niger_nan,Nigeria_nan,North Macedonia_nan,Norway_nan,Oman_nan,Pakistan_nan,Panama_nan,Papua New Guinea_nan,Paraguay_nan,Peru_nan,Philippines_nan,Poland_nan,Portugal_nan,Qatar_nan,Romania_nan,Russia_nan,Rwanda_nan,Saint Kitts and Nevis_nan,Saint Lucia_nan,Saint Vincent and the Grenadines_nan,Samoa_nan,San Marino_nan,Sao Tome and Principe_nan,Saudi Arabia_nan,Senegal_nan,Serbia_nan,Seychelles_nan,Sierra Leone_nan,Singapore_nan,Slovakia_nan,Slovenia_nan,Solomon Islands_nan,Somalia_nan,South Africa_nan,South Sudan_nan,Spain_nan,Sri Lanka_nan,Sudan_nan,Suriname_nan,Sweden_nan,Switzerland_nan,Syria_nan,Taiwan*_nan,Tajikistan_nan,Tanzania_nan,Thailand_nan,Timor-Leste_nan,Togo_nan,Trinidad and Tobago_nan,Tunisia_nan,Turkey_nan,Uganda_nan,Ukraine_nan,United Arab Emirates_nan,United Kingdom_Anguilla,United Kingdom_Bermuda,United Kingdom_British Virgin Islands,United Kingdom_Cayman Islands,United Kingdom_Channel Islands,United Kingdom_Falkland Islands (Malvinas),United Kingdom_Gibraltar,United Kingdom_Isle of Man,United Kingdom_Montserrat,United Kingdom_Turks and Caicos Islands,United Kingdom_nan,United States_nan,Uruguay_nan,Uzbekistan_nan,Vanuatu_nan,Venezuela_nan,Vietnam_nan,West Bank and Gaza_nan,Yemen_nan,Zambia_nan,Zimbabwe_nan
0,2020-07-15,34984,3752,20770,862,576,74,111146,33005,113,3527,31,1071,444,228,4750,646,19154,25672,119,34560,193590,104,65443,62872,39,1378,84,52218,7411,399,1966748,141,7877,1038,337,269,1780,166,15173,8994,3149,0,13,330,168,262,5,1067,0,38918,36,56859,0,881,11,4362,885,321205,991,929,583,363,167,1650,254,147,171,349,947,1276,1588,68135,1019,249,654,932,155,164,46,75,18,321,793,732,201,599,203,1,76,188,1270,165169,321,2222,8163,8986,13403,3953,2438,1025,13475,188,13,13092,712,4985,18,47671,70329,84843,10645,3071,232,2016,1489,8181,26,7296,6299,62,190,255,2743,22,608,6,2,43,202383,6121,64,1004,200890,25430,3910,23,32074,1842,6276,313,6831,12,30036,4263,1835,968857,80094,264561,83867,25683,44539,243506,763,23172,1201,65188,11252,13612,5237,56877,12282,19,1178,2542,256,1056,1589,84,1882,5122,9,5605,2614,8734,2831,2433,674,0,5564,343,317635,20040,109,261,1287,16262,1330,960,17177,106,9,26,78,51252,1548,3147,1100,34259,8530,9011,61247,257914,49243,11,3198,337751,58850,38721,47426,104983,34226,745197,1435,17,22,35,0,699,737,240474,8369,19334,100,1668,46878,1927,1878,0,3083,311049,2153,257494,2671,10527,837,73663,33148,458,451,6695,509,3232,24,740,133,1319,215940,1043,56779,55848,3,150,8,203,581,13,180,336,12,72,291911,3495012,1009,14581,0,10428,381,7064,1526,1895,1089
1,2020-07-16,35060,3851,21355,877,607,74,114783,33559,113,3535,31,1071,444,228,5165,646,19270,26165,124,35084,196323,104,65623,63238,40,1463,86,54156,7681,522,2012151,141,8144,1038,339,303,1894,171,16157,9114,3170,0,13,331,168,262,5,1067,0,39043,36,57001,0,923,11,4373,886,323698,991,929,583,363,167,1654,255,147,171,349,947,1276,1655,68135,1019,249,654,932,155,164,46,75,18,322,794,733,201,599,203,1,82,188,1270,173206,328,2358,8199,9546,13554,4039,2440,1031,13612,188,13,13124,712,4993,18,48743,71365,85771,10957,3071,251,2016,1552,8475,26,7293,6393,62,190,255,2778,22,612,6,2,43,202819,6121,78,1006,201450,26125,3939,23,32939,1902,6359,315,6948,12,30867,4279,1836,1003832,81668,267061,86148,25698,46478,243736,765,23510,1206,66895,11673,13672,5369,57668,12498,19,1179,2599,256,1070,1652,84,1902,5285,9,6089,2712,8737,2899,2440,674,0,5659,343,324041,20264,109,262,1287,16545,1383,1032,17344,108,9,26,78,51351,1549,3147,1102,34854,8623,9015,62574,257914,50373,11,3342,341586,61266,39054,47765,105477,35003,751612,1473,17,23,35,0,699,740,243238,8481,19717,108,1678,47126,1951,1897,0,3106,324221,2171,258855,2687,10527,904,73936,33290,477,451,6741,509,3236,24,749,133,1327,216873,1051,57640,56129,3,152,8,203,583,13,180,336,12,74,292552,3571721,1026,15066,0,10854,381,7412,1552,1895,1362
2,2020-07-17,35219,3906,21948,880,638,76,119301,34001,113,3550,31,1071,444,228,5353,651,19439,26636,129,35473,199357,104,65782,63499,40,1602,87,56102,7908,522,2046328,141,8442,1045,339,310,1939,171,16157,9219,3198,0,13,336,168,262,5,1067,0,39164,36,57142,0,936,13,4389,887,326439,991,929,583,364,167,1657,255,147,171,349,947,1276,1713,68135,1019,249,654,932,155,164,46,75,18,322,796,733,201,599,203,1,93,188,1270,182140,328,2633,8249,9969,13696,4137,2444,1033,13742,188,13,13173,712,5003,18,50113,72444,86474,11207,3071,251,2020,1619,8803,26,7301,6509,62,195,255,2782,22,614,6,4,46,203516,6315,78,1010,202045,26572,3964,23,33809,1927,6430,320,6975,12,31745,4293,1836,1039084,83130,269440,88171,25730,48083,243967,768,24104,1209,68703,12062,13711,5472,58221,13101,19,1185,2700,311,1085,1704,85,1908,5409,9,6467,2805,8755,2913,2467,674,0,5710,343,331298,20494,109,287,1965,16726,1402,1078,17445,111,10,28,79,51454,1550,3147,1102,35454,8786,9025,64193,261917,51408,15,3457,345537,63001,39407,48077,105898,35802,758001,1485,17,23,35,0,699,741,245851,8544,20109,108,1688,47453,1965,1916,0,3106,337594,2191,260255,2697,10527,943,74235,33382,496,451,6786,509,3239,24,766,136,1336,217799,1056,58466,56422,3,152,8,203,583,13,180,336,12,74,293239,3643660,1037,15607,0,11191,382,7764,1576,2810,1420
3,2020-07-18,35279,4008,22549,880,687,76,122524,34462,113,3568,31,1071,444,228,5696,651,19573,27133,138,36004,202066,104,65953,63706,40,1602,87,58138,8161,522,2074860,141,8638,1047,340,310,2014,171,16157,9219,3198,0,13,337,168,262,5,1067,0,39316,36,57300,0,941,13,4485,889,328846,991,929,583,364,167,1659,255,147,171,349,947,1276,1713,68135,1019,249,654,932,155,164,46,75,18,322,797,733,201,599,203,1,106,188,1270,190700,328,2633,8324,10551,13912,4253,2445,1037,13855,188,13,13173,712,5003,18,51519,73382,87172,11508,3071,251,2021,1729,9147,26,7318,6655,62,195,262,2782,22,624,6,4,46,203516,6315,93,1018,202426,27060,3983,23,38042,1949,6491,327,7053,12,32793,4315,1838,1077781,84882,271606,90220,25750,49531,244216,774,24946,1214,68703,12750,13745,5617,58904,24606,19,1189,2775,359,1088,1791,86,1915,5483,9,6849,2810,8764,2930,2472,675,0,5813,343,338913,20794,109,287,2072,17015,1435,1203,17502,111,10,28,79,51581,1553,3147,1104,36107,9026,9028,65504,263496,52261,16,3629,349500,65304,39746,48390,106308,36691,764215,1539,17,23,38,0,699,743,248416,8669,20498,108,1701,47655,1976,1940,0,3111,350879,2191,260255,2703,10682,1001,74435,33492,496,451,6834,509,3246,24,774,137,1348,218717,1062,59333,56711,3,153,8,203,583,13,180,336,12,75,294066,3706180,1044,16186,0,11483,382,8204,1581,2980,1478
4,2020-07-19,35453,4090,23084,880,705,76,126755,34877,113,3588,31,1072,444,228,5942,651,19655,27521,153,36422,204525,105,66095,63706,40,1602,89,59582,8340,522,2098389,141,8733,1052,341,310,2045,171,16157,9219,3198,0,13,343,169,262,5,1067,0,39434,36,57466,0,943,13,4485,889,330930,991,929,583,364,167,1659,255,147,171,349,947,1276,1777,68135,1019,249,654,932,155,164,46,75,18,322,798,733,201,602,203,1,123,188,1270,197278,334,2633,8403,11114,14119,4345,2446,1038,13945,191,13,13173,712,5011,18,52855,74013,87775,11846,3071,251,2021,1793,9503,27,7335,6655,62,195,262,2782,22,628,6,4,46,203516,6315,93,1028,202735,27667,4007,23,38677,1949,6544,336,7053,12,33835,4333,1839,1118206,86521,273788,92530,25760,50547,244434,790,25446,1218,71838,13353,13771,5735,59204,27143,19,1192,2859,359,1091,1866,86,1932,5605,9,7049,2907,8779,2966,2475,677,0,5873,343,344224,20980,109,287,2188,17236,1491,1247,17658,113,10,28,79,51725,1554,3147,1104,36663,9153,9028,66661,265083,53468,16,3721,353590,67456,40104,48636,106648,37458,770311,1582,17,23,44,0,699,746,250920,8810,20894,108,1711,47912,1979,1946,0,3119,364328,2200,260255,2724,10992,1029,74545,33591,496,451,6878,509,3250,24,778,137,1374,219641,1065,60077,56922,3,153,8,203,583,13,180,336,12,75,294792,3766913,1054,16752,0,11891,383,8549,1606,2980,1611
5,2020-07-20,35493,4171,23691,884,749,76,130774,34981,113,3599,31,1072,444,229,6289,651,19743,27890,174,36936,207453,106,66213,64094,40,1602,90,60991,8479,522,2118646,141,8929,1065,341,322,2071,171,16157,9587,3300,0,13,354,170,262,5,1067,0,39553,36,57616,0,962,13,4548,889,333029,991,929,583,364,167,1659,255,147,171,349,947,1276,1885,68135,1019,249,654,932,155,164,46,75,18,322,798,735,201,603,203,1,131,188,1270,204005,334,2851,8443,11534,14312,4370,2446,1038,14098,191,13,13262,712,5020,18,53956,74620,88402,12207,3071,251,2021,1826,10207,27,7340,6745,62,195,262,2808,22,631,6,4,46,205308,6433,112,1039,203325,28430,4012,23,39039,1949,6590,337,7053,12,34611,4339,1839,1155338,88214,276202,94693,25766,52434,244624,809,25706,1223,73468,13771,13816,5877,59763,27143,19,1192,2905,359,1107,1980,86,1947,5639,9,7153,2992,8800,2999,2475,677,0,5923,343,349396,21115,109,287,2188,17562,1507,1344,17844,115,10,28,79,51910,1555,3147,1105,37225,9249,9034,68400,266096,54426,19,3748,357681,68898,40383,48771,107037,38139,776212,1629,17,23,50,0,699,746,253349,8948,21253,108,1711,48035,1980,1953,0,3130,373628,2211,264836,2730,10992,1079,74676,33634,522,451,6921,509,3250,24,783,137,1381,220572,1069,60767,57193,3,153,8,203,583,13,180,336,12,81,295372,3828587,1064,17149,0,12334,384,8916,1619,3326,1713
6,2020-07-21,35605,4290,24278,884,779,76,136118,35254,113,3614,31,1073,444,229,6739,651,19827,28242,194,37316,210510,106,66348,64258,42,1602,92,62357,8787,522,2159654,141,9254,1065,341,328,2107,197,16522,9728,3328,0,13,366,170,263,5,1067,0,39718,36,57796,0,970,13,4561,889,334683,991,929,583,364,167,1661,255,147,171,349,947,1276,1958,68135,1019,249,654,932,155,164,46,75,18,322,798,737,201,603,203,1,140,188,1270,211038,337,2851,8534,11811,14531,4422,2449,1040,14324,191,13,13302,712,5027,18,54797,76217,89078,12582,3071,251,2022,1894,11072,27,7351,6851,62,195,262,2824,22,639,6,4,46,205773,6433,112,1049,203717,28989,4048,23,40229,1954,6652,339,7100,12,35345,4347,1839,1193078,89869,278827,97159,25802,54440,244752,810,26463,1113,75153,14168,13879,6045,60434,28251,19,1193,2980,359,1108,2088,86,1949,5725,9,7548,3045,8815,3044,2477,677,0,5985,343,356255,21442,111,287,2381,17742,1536,1366,17994,117,10,28,79,52073,1555,3439,1113,37801,9412,9053,69887,267428,55153,27,3817,362087,70764,40782,48898,107430,39133,782040,1655,17,23,50,0,699,746,255825,8985,21605,108,1727,48434,2021,1977,0,3135,381798,2211,266194,2730,10992,1131,74902,33742,540,451,6967,509,3255,24,790,139,1389,221500,1072,61454,57498,3,153,8,203,583,13,180,336,12,81,295817,3892499,1096,17881,0,12774,401,9228,1629,3386,1820
7,2020-07-22,35717,4358,24872,889,812,76,141900,35693,113,3633,31,1074,446,229,7125,651,19929,28633,219,37637,213254,106,66521,64627,43,1690,92,64135,9115,522,2227514,141,9584,1066,343,328,2154,198,16522,9728,3328,0,13,374,170,264,5,1067,0,39824,36,57938,0,1030,13,4574,889,336402,991,929,583,364,167,1662,255,147,171,349,947,1276,2131,68135,1019,250,655,932,155,165,46,75,18,323,798,738,201,603,203,1,158,189,1270,218428,337,2851,8626,12361,14733,4530,2462,1040,14570,191,13,13350,712,5030,18,56043,77257,89745,12975,3071,251,2025,1938,11524,27,7362,6883,62,195,262,2839,22,645,6,4,46,206641,6588,146,1073,204276,29672,4077,23,41135,1954,6747,350,7167,12,36102,4366,1840,1238798,91751,281413,99865,25819,56484,245032,816,27136,1120,75153,14805,13938,6286,61185,28980,19,1197,3104,359,1114,2176,86,1951,5854,9,8162,3302,8831,3103,2494,679,0,6027,343,362274,21798,112,287,2472,17962,1557,1402,18094,117,10,28,79,52241,1555,3439,1122,38344,9547,9059,71547,269191,55906,30,4000,366550,72269,41162,49150,107871,40163,787890,1689,17,23,52,0,699,747,258156,9121,22031,108,1731,48744,2058,2006,0,3161,394948,2211,267551,2752,11237,1176,75199,33883,561,455,7015,509,3261,24,806,141,1394,222402,1075,62295,57734,3,153,8,203,583,13,182,336,12,82,296377,3964325,1117,18379,0,13164,408,9398,1640,3583,2034
8,2020-07-23,35918,4466,25484,889,851,76,148027,36162,113,3640,31,1076,447,229,7405,654,20099,28980,274,37996,216110,106,66688,64847,47,1694,92,65252,9462,592,2287475,141,9853,1070,343,345,2190,202,16522,9975,3392,0,13,375,170,264,5,1067,0,39936,36,58080,0,1072,13,4590,915,338759,991,929,583,364,167,1667,255,147,171,349,947,1276,2249,68135,1019,250,655,932,155,167,46,75,18,323,798,739,201,603,203,1,171,189,1270,226373,340,2851,8720,13129,15001,4634,2466,1045,14800,191,13,13390,712,5031,18,57615,78148,90413,13377,3071,261,2027,2021,11933,27,7372,7086,62,195,262,2862,22,646,6,4,46,207650,6588,170,1085,204881,29672,4110,23,42192,1954,6806,351,7197,12,36902,4380,1841,1288108,93657,284034,102226,25826,58474,245338,821,28114,1131,78486,15601,13979,6467,61872,31247,19,1203,3260,359,1117,2314,86,1960,5952,9,8381,3302,8840,3120,2494,680,0,6067,343,370712,22105,114,288,2569,18264,1582,1522,18241,117,10,28,81,52404,1556,3439,1124,38948,9669,9085,72646,270400,56817,31,4113,371096,74390,41580,49379,108244,41275,793720,1710,17,24,52,0,699,749,260394,9266,22443,108,1752,49098,2089,2033,0,3171,408052,2239,270166,2753,11237,1234,75419,34000,584,455,7060,509,3279,24,828,141,1406,223315,1079,63169,57988,3,153,8,203,583,13,184,336,12,90,297146,4032966,1141,18986,0,13613,412,9744,1654,3789,2124
9,2020-07-24,35978,4570,26159,897,880,82,153520,36613,113,3654,31,1076,447,229,7744,656,20214,29312,316,38458,218658,108,66846,65199,48,1694,92,66456,9767,686,2343366,141,10123,1075,346,345,2220,202,16708,10086,3392,0,13,384,170,265,5,1067,0,40341,36,58243,0,1099,14,4593,915,341304,991,929,583,364,167,1669,255,147,171,349,947,1276,2372,68135,1019,251,655,932,155,176,46,75,18,323,798,741,201,603,203,1,191,189,1270,233541,340,3038,8767,13669,15253,4715,2469,1047,15081,191,13,13438,712,5039,18,59077,79049,91072,13792,3071,261,2028,2073,12693,27,7380,7251,62,203,269,2862,22,654,6,4,46,208553,6984,216,1104,205623,31057,4135,23,43283,1954,6867,352,7260,12,37559,4398,1843,1337024,95418,286523,104711,25845,60304,245590,831,28883,1146,80226,16268,14092,6680,62625,31247,20,1205,3407,359,1135,2424,86,1986,6056,9,8741,3453,8861,3175,2503,686,0,6116,344,378285,22483,116,288,2665,18834,1590,1618,18374,118,11,29,84,52595,1556,3439,1124,39539,9797,9092,73791,271887,57993,32,4224,375961,76444,42038,49692,108638,42394,799499,1729,17,24,52,0,699,860,262772,9422,22852,108,1765,49375,2118,2052,0,3171,421996,2258,272421,2764,11302,1305,75681,34154,608,458,7104,509,3279,24,839,142,1425,224252,1089,64173,58249,3,153,8,203,584,13,184,336,12,90,297914,4106394,1166,19360,0,14263,415,10093,1674,3856,2296
